School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,97.3,4.8,15.0,2.3,15.0,2017-18,NA,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Adams-Cheshire-Hoosac Valley High School,06030505,93.6,10.7,35.6,17.7,28.7,2017-18,NA,0603,Hoosac Valley Regional,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
Agawam-Agawam High,00050505,95.0,8.6,33.7,10.3,17.2,2017-18,NA,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Agawam-Agawam Junior High,00050405,94.7,9.3,39.4,12.3,28.3,2017-18,NA,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,95.0,8.7,33.4,12.9,12.2,2017-18,NA,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,93.5,11.4,38.7,17.7,10.5,2017-18,NA,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,96.2,6.6,18.7,4.1,17.7,2017-18,NA,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,95.9,7.3,26.4,7.6,20.7,2017-18,NA,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Athol-Royalston-Athol High,06150505,90.5,16.1,57.6,32.2,41.8,2017-18,NA,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,93.2,11.8,42.8,23.1,31.7,2017-18,NA,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Senior High,00170505,94.3,9.7,37.8,14.5,19.7,2017-18,NA,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Auburn-Auburn Middle,00170305,95.7,7.6,26.1,8.0,16.4,2017-18,NA,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,93.7,11.1,45.9,16.2,9.8,2017-18,NA,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,95.0,8.8,33.3,9.5,19.5,2017-18,NA,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
