ORG_CODE,DISTRICT_NAME,SCHOOL,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
0097,Fitchburg,00970510,Goodrich Academy,Worcester,186,160,Yes,0%,Include
0348,Worcester,03480503,Burncoat Senior High,Worcester,1073,1050,Yes,0%,Include
0348,Worcester,03480605,Worcester Technical High,Worcester,1442,1419,Yes,0%,Include
0271,Shrewsbury,02710505,Shrewsbury High School,Worcester,1891,1869,Yes,0%,Include
0348,Worcester,03480520,South High Community,Worcester,1800,1779,Yes,0%,Include
0775,Wachusett,07750505,Wachusett Regional High,Worcester,1779,1760,Yes,0%,Include
0730,Northboro-Southboro,07300505,Algonquin Regional High,Worcester,1197,1181,Yes,0%,Include
0110,Grafton,01100505,Grafton High School,Worcester,914,899,Yes,0%,Include
0236,Pittsfield,02360505,Pittsfield High,Berkshire,727,712,Yes,0%,Include
0005,Agawam,00050405,Agawam Junior High,Hampden,527,527,Yes,0%,Include
0325,Westfield,03250505,Westfield High,Hampden,1034,1020,Yes,0%,Include
0024,Belchertown,00240025,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
0348,Worcester,03480515,North High,Worcester,1376,1362,Yes,0%,Include
0061,Chicopee,00610021,Chicopee Academy,Hampden,92,92,Yes,0%,Include
0061,Chicopee,00610505,Chicopee High,Hampden,918,918,Yes,0%,Include
0061,Chicopee,00610510,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
0114,Greenfield,01140505,Greenfield High,Franklin,404,394,Yes,0%,Include
0153,Leominster,01530605,Center For Technical Education Innovation,Worcester,821,811,Yes,0%,Include
0332,West Springfield,03320505,West Springfield High,Hampden,1231,1221,Yes,0%,Include
0086,Easthampton,00860505,Easthampton High,Hampshire,377,377,Yes,0%,Include
0005,Agawam,00050505,Agawam High,Hampden,1025,1016,Yes,0%,Include
0309,Ware,03090505,Ware Junior/Senior High School,Hampshire,425,416,Yes,0%,Include
0097,Fitchburg,00970505,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
0321,Westborough,03210505,Westborough High,Worcester,1213,1204,Yes,0%,Include
0024,Belchertown,00240505,Belchertown High,Hampshire,573,565,Yes,0%,Include
0103,Gardner,01030515,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
0110,Grafton,01100305,Grafton Middle,Worcester,478,478,Yes,0%,Include
0111,Granby,01110505,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
0304,Uxbridge,03040505,Uxbridge High,Worcester,590,582,Yes,0%,Include
0117,Hadley,01170505,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
0125,Harvard,01250505,The Bromfield High School,Worcester,328,328,Yes,0%,Include
0127,Hatfield,01270505,Smith Academy,Hampshire,109,109,Yes,0%,Include
0348,Worcester,03480512,Doherty Memorial High,Worcester,1573,1565,Yes,0%,Include
0137,Holyoke,01370505,Holyoke High,Hampden,1569,1569,Yes,0%,Include
0191,Monson,01910505,Monson High School,Hampden,280,273,Yes,0%,Include
0153,Leominster,01530515,Leominster Center for Excellence,Worcester,65,65,Yes,0%,Include
0153,Leominster,01530705,Leominster Academy,Worcester,32,32,Yes,0%,Include
0159,Longmeadow,01590505,Longmeadow High,Hampden,897,897,Yes,0%,Include
0680,Hampden-Wilbraham,06800505,Minnechaug Regional High,Hampden,990,983,Yes,0%,Include
0162,Lunenburg,01620505,Lunenburg High,Worcester,452,452,Yes,0%,Include
0725,Nashoba,07250505,Nashoba Regional,Worcester,806,799,Yes,0%,Include
0767,Spencer-E Brookfield,07670505,David Prouty High,Worcester,306,299,Yes,0%,Include
0770,Tantasqua,07700505,Tantasqua Regional Sr High,Worcester,632,625,Yes,0%,Include
0185,Milford,01850505,Milford High,Worcester,1316,1316,Yes,0%,Include
0209,North Adams,02090505,Drury High,Berkshire,438,432,Yes,0%,Include
0210,Northampton,02100505,Northampton High,Hampshire,875,869,Yes,0%,Include
0605,Amherst-Pelham,06050505,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
0670,Frontier,06700505,Frontier Regional,Franklin,588,582,Yes,0%,Include
0710,Mendon-Upton,07100510,Nipmuc Regional High,Worcester,534,528,Yes,0%,Include
0153,Leominster,01530505,Leominster High School,Worcester,1060,1055,Yes,0%,Include
0186,Millbury,01860505,Millbury Junior/Senior High,Worcester,722,717,Yes,0%,Include
0236,Pittsfield,02360510,Taconic High,Berkshire,824,824,Yes,0%,Include
0103,Gardner,01030505,Gardner High,Worcester,808,804,Yes,0%,Include
0151,Leicester,01510505,Leicester High,Worcester,388,384,Yes,0%,Include
0161,Ludlow,01610505,Ludlow Senior High,Hampden,736,732,Yes,0%,Include
0271,Shrewsbury,02710030,Oak Middle School,Worcester,914,914,Yes,0%,Include
0214,Northbridge,02140505,Northbridge High,Worcester,471,467,Yes,0%,Include
0277,Southbridge,02770515,Southbridge High School,Worcester,419,419,Yes,0%,Include
0277,Southbridge,02770525,Southbridge Academy,Worcester,21,21,Yes,0%,Include
0281,Springfield,02810500,Springfield Central High,Hampden,1983,1983,Yes,0%,Include
0281,Springfield,02810510,High School Of Commerce,Hampden,966,966,Yes,0%,Include
0281,Springfield,02810530,Springfield High School of Science and Technology,Hampden,1091,1091,Yes,0%,Include
0281,Springfield,02810550,Springfield Public Day High School,Hampden,65,65,Yes,0%,Include
0281,Springfield,02810560,Liberty Preparatory Academy,Hampden,6,6,Yes,0%,Include
0281,Springfield,02810570,Springfield High School,Hampden,237,237,Yes,0%,Include
0281,Springfield,02810575,Gateway to College at Holyoke Community College,Hampden,21,21,Yes,0%,Include
0281,Springfield,02810580,Gateway to College at Springfield Technical Community College,Hampden,25,25,Yes,0%,Include
0281,Springfield,02810620,Roger L. Putnam Vocational Technical Academy,Hampden,1382,1382,Yes,0%,Include
0281,Springfield,02810700,Springfield International Academy at Sci-Tech,Hampden,95,95,Yes,0%,Include
0278,South Hadley,02780505,South Hadley High,Hampshire,479,475,Yes,0%,Include
0290,Sutton,02900510,Sutton High School,Worcester,367,367,Yes,0%,Include
0316,Webster,03160505,Bartlett High School,Worcester,408,404,Yes,0%,Include
0610,Ashburnham-Westminster,06100505,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
0615,Athol-Royalston,06150505,Athol High,Worcester,417,413,Yes,0%,Include
0618,Berkshire Hills,06180505,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
0304,Uxbridge,03040515,Gateway to College,Worcester,44,44,Yes,0%,Include
0658,Dudley-Charlton Reg,06580505,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
0321,Westborough,03210305,Sarah W Gibbons Middle,Worcester,610,610,Yes,0%,Include
0325,Westfield,03250310,Westfield Middle School,Hampden,671,671,Yes,0%,Include
0325,Westfield,03250605,Westfield Technical Academy,Hampden,557,557,Yes,0%,Include
0077,Douglas,00770505,Douglas High School,Worcester,267,264,Yes,0%,Include
0087,East Longmeadow,00870505,East Longmeadow High,Hampden,753,750,Yes,0%,Include
0138,Hopedale,01380505,Hopedale Jr Sr High,Worcester,456,453,Yes,0%,Include
0348,Worcester,03480285,University Pk Campus School,Worcester,233,233,Yes,0%,Include
0348,Worcester,03480405,Burncoat Middle School,Worcester,720,720,Yes,0%,Include
0348,Worcester,03480415,Forest Grove Middle,Worcester,839,839,Yes,0%,Include
0348,Worcester,03480420,Worcester East Middle,Worcester,731,731,Yes,0%,Include
