COUNTY,school_year,av_rate
Berkshire,2017,93.3125
Berkshire,2018,93.55
Berkshire,2019,93.48125
Berkshire,2020,90.49411764705883
Berkshire,2021,88.82941176470588
Berkshire,2022,90.37647058823529
Berkshire,2023,89.3529411764706
Berkshire,2024,89.17647058823529
Franklin,2017,93.35
Franklin,2018,93.08
Franklin,2019,93.43
Franklin,2020,90.54
Franklin,2021,90.32000000000001
Franklin,2022,91.38
Franklin,2023,91.65
Franklin,2024,92.62
Hampden,2017,90.875
Hampden,2018,90.95517241379311
Hampden,2019,91.26206896551724
Hampden,2020,90.21612903225807
Hampden,2021,87.9265625
Hampden,2022,89.3796875
Hampden,2023,89.9453125
Hampden,2024,89.85625
Hampshire,2017,94.27777777777777
Hampshire,2018,94.36666666666667
Hampshire,2019,94.53333333333333
Hampshire,2020,93.25555555555556
Hampshire,2021,91.96666666666667
Hampshire,2022,92.33888888888889
Hampshire,2023,92.91111111111111
Hampshire,2024,92.91666666666667
Worcester,2017,94.28645833333333
Worcester,2018,94.11958762886597
Worcester,2019,94.30309278350515
Worcester,2020,92.5041237113402
Worcester,2021,91.25463917525774
Worcester,2022,92.37938144329897
Worcester,2023,92.1919191919192
Worcester,2024,92.107
