"school_year","COUNTY","total_students","num_schools","Variable","Value"
"2017-18","Berkshire",7301,16,"Attendance Rate",93.0359950691686
"2017-18","Berkshire",7301,16,"Average # Absences",12.0662648952198
"2017-18","Berkshire",7301,16,"10% Chronic Absenteeism",21.1925489658951
"2017-18","Franklin",4523,10,"Attendance Rate",93.043157196551
"2017-18","Franklin",4523,10,"Average # Absences",11.3964846340924
"2017-18","Franklin",4523,10,"10% Chronic Absenteeism",21.4344240548309
"2017-18","Hampden",33487,56,"Attendance Rate",93.3658285304745
"2017-18","Hampden",33487,56,"Average # Absences",11.1364887866933
"2017-18","Hampden",33487,56,"10% Chronic Absenteeism",17.9733090453012
"2017-18","Hampshire",8557,18,"Attendance Rate",94.1078765922636
"2017-18","Hampshire",8557,18,"Average # Absences",10.3130770129718
"2017-18","Hampshire",8557,18,"10% Chronic Absenteeism",14.9685403763001
"2017-18","Worcester",61877,96,"Attendance Rate",94.3521308402153
"2017-18","Worcester",61877,96,"Average # Absences",9.67644035748339
"2017-18","Worcester",61877,96,"10% Chronic Absenteeism",14.4758100748259
"2018-19","Berkshire",7301,16,"Attendance Rate",93.2110806738803
"2018-19","Berkshire",7301,16,"Average # Absences",11.8346390905355
"2018-19","Berkshire",7301,16,"10% Chronic Absenteeism",19.8518148198877
"2018-19","Franklin",4523,10,"Attendance Rate",92.530046429361
"2018-19","Franklin",4523,10,"Average # Absences",12.0950696440416
"2018-19","Franklin",4523,10,"10% Chronic Absenteeism",23.8092416537696
"2018-19","Hampden",33871,58,"Attendance Rate",93.5861562988988
"2018-19","Hampden",33871,58,"Average # Absences",10.7982699064096
"2018-19","Hampden",33871,58,"10% Chronic Absenteeism",16.9511499512858
"2018-19","Hampshire",8557,18,"Attendance Rate",94.187390440575
"2018-19","Hampshire",8557,18,"Average # Absences",10.1456585251841
"2018-19","Hampshire",8557,18,"10% Chronic Absenteeism",15.0539675119785
"2018-19","Worcester",61898,97,"Attendance Rate",94.3285808911435
"2018-19","Worcester",61898,97,"Average # Absences",9.80307118162138
"2018-19","Worcester",61898,97,"10% Chronic Absenteeism",14.3995007916249
"2019-20","Berkshire",7301,16,"Attendance Rate",93.0811943569374
"2019-20","Berkshire",7301,16,"Average # Absences",7.4056293658403
"2019-20","Berkshire",7301,16,"10% Chronic Absenteeism",20.9810436926448
"2019-20","Franklin",4523,10,"Attendance Rate",93.2072518240106
"2019-20","Franklin",4523,10,"Average # Absences",7.13358390448817
"2019-20","Franklin",4523,10,"10% Chronic Absenteeism",19.6692018571744
"2019-20","Hampden",33871,58,"Attendance Rate",93.6289805438281
"2019-20","Hampden",33871,58,"Average # Absences",6.742461102418
"2019-20","Hampden",33871,58,"10% Chronic Absenteeism",16.7310176847451
"2019-20","Hampshire",8557,18,"Attendance Rate",94.4516419305832
"2019-20","Hampshire",8557,18,"Average # Absences",5.95039149234545
"2019-20","Hampshire",8557,18,"10% Chronic Absenteeism",14.2095243660161
